186,Berani,,tribal *spirit,
187,bereanga,,spread wide,
188,bere-bere,,sickness,
189,berehi,,cleanse,
190,bereki,,old man,
191,berera,o,"village, town, Tobelo",
192,besi,,iron,
193,beta-beta,,small *package,
194,betongo,,text,
195,beubabu,,"reason, therefore",
196,beuekeuno,,upper *arm,
197,beureti,,"stop, rest",
198,beutikanga,,concave up,
199,biagaro,,oyster shell,
200,biaha,o,"custom, to be *accustomed",
201,bianga,o,February (time when the Pleiades is at its zenith),time
202,bianga,o,k o small *shellfish,animal
203,biara,ho ma,"raise, bring up",
204,biawa,o,k o *plant,plant
205,bibikiri,,mop,
206,bibikiri,o,sieve,
207,bibilata,o,wart,
208,bidilon,o,k o *crab,animal
209,bido-bidoho,o,k o small *fish,fish
210,bidoho,o,betel,food
211,biha,o,"venom, poison",
212,bihi,o,"indigo, blue",plant
213,biji,o,weeds,
214,biki,o,leaf used for sails,
215,biki-hago,,earwig,
216,bikini,,tree,
217,bikini,,tail,
218,bilahu,,"smooth, shine",
219,bilamo,,phosphorescent *centipede,
220,bilangu,,contribution to a feast,
221,bilaono,o,"great cost, supplies",
222,bilatu,,wood clamp,
223,bileure,,sago leaf *decoration,
224,bilihu,,slice,
225,bima:wa,o,evening,time
226,binaha,,"wreck, ruin, spoil",
227,bingu,,confused,
228,biono,,"face, appearance",body part
229,biono,,front,
230,biono,nanga,"face, front",body part
231,bira,o,rice,food
232,birahi,,"glad, happy",
233,biranga,,sister,
234,birini,,frequqent,
235,biru,ma,green,
236,bitoanga,o,banana,food
237,bitoko,,stamp,
238,bitu-bitumu,,fasten rigid,
239,bitumu,,weed with strong roots,
240,bitumu,,"fast, firm, solid",
241,bityarya,,discussion,
242,biu,,"poultice, plaster",
243,biuhu,,mischief,
244,biuni,nanga,face,body part
245,biunu,,"before, front",
246,boa,,"arrive, come",
247,boauka,,call to,
248,bobaakouro,,slippery,
249,bobai,,"lover, suitor",
250,bobaiti,,"grave, groove",
251,bobaja,,temptation,
252,bobaku,,"illness, epidemic",
253,bobali,,coconut leaf *sack,
254,bobane,,pier,
255,bobangu,,"payment, penance",
256,bobara,,k o large tasty *fish,
257,bobareuha,,peg,
258,bobareune,,pier,
259,bobareune,,"canoe, vessel",
260,bobaso,o,k o traditional *song,
261,bobatingi,,limit,
262,bobato,,chief,
263,bobeleuru,,"oar, paddle",nautical
264,bobeoto,,palm wine,
265,bobero,,"growing, raising",
266,bobeto,,taunt,
267,bobeuleoko,,curve,
268,bobeuleta,,sago pounding,
269,bobeulianga,,taxes,
270,bobeurehe,,cover,
271,bobeureki,,old ones,
272,bobeureki,,spirit rice,
